utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
670828.241	3529870.630	3.074	0.009	4.149	-0.033	0.004	-0.033	0.099	1.564	0.693	0.000	0.000	118.8063104	31.8918456
670828.258	3529870.419	3.074	0.005	4.167	-0.031	0.009	-0.031	-0.044	1.008	0.314	0.000	0.000	118.8063105	31.8918437
670828.274	3529870.204	3.074	0.037	4.167	-0.029	0.012	-0.029	0.084	0.399	-0.233	0.000	0.000	118.8063107	31.8918418
670828.274	3529870.204	3.074	0.037	4.167	-0.017	-0.002	-0.017	0.001	1.023	-0.451	0.000	0.000	118.8063107	31.8918418
670828.291	3529869.986	3.073	0.037	4.427	-0.010	-0.004	-0.010	0.085	0.177	-0.404	0.000	0.000	118.8063108	31.8918398
670828.291	3529869.986	3.073	0.042	4.427	-0.000	-0.011	-0.000	-0.093	1.295	-0.014	0.000	0.000	118.8063108	31.8918398
670828.308	3529869.767	3.073	0.042	4.444	0.041	-0.021	0.041	-0.037	1.062	-0.007	0.000	0.000	118.8063110	31.8918378
670828.325	3529869.545	3.073	0.051	4.444	-0.003	-0.004	-0.003	-0.132	1.347	0.329	0.000	0.000	118.8063111	31.8918358
670828.325	3529869.545	3.073	0.056	4.473	-0.040	0.007	-0.040	-0.169	1.761	0.317	0.000	0.000	118.8063111	31.8918358
670828.342	3529869.320	3.073	0.056	4.491	0.002	-0.001	0.002	0.027	0.785	-0.389	0.000	0.000	118.8063112	31.8918338
670828.342	3529869.320	3.073	0.060	4.491	-0.012	-0.009	-0.012	0.010	0.592	0.113	0.000	0.000	118.8063112	31.8918338
670828.360	3529869.093	3.073	0.065	4.514	-0.019	-0.007	-0.019	-0.079	1.013	0.287	0.000	0.000	118.8063114	31.8918318
670828.379	3529868.864	3.073	0.069	4.514	-0.018	-0.011	-0.018	0.011	0.550	0.213	0.000	0.000	118.8063115	31.8918297
670828.379	3529868.864	3.073	0.069	4.537	-0.029	0.007	-0.029	-0.010	0.753	0.157	0.000	0.000	118.8063115	31.8918297
670828.397	3529868.632	3.072	0.074	4.537	-0.031	0.030	-0.031	0.317	1.945	-0.348	0.000	0.000	118.8063117	31.8918276
670828.397	3529868.632	3.072	0.074	4.786	-0.024	0.019	-0.024	0.060	0.503	-0.046	0.000	0.000	118.8063117	31.8918276
670828.415	3529868.397	3.072	0.065	4.786	0.024	-0.023	0.024	-0.022	0.834	-0.291	0.000	0.000	118.8063118	31.8918255
670828.433	3529868.160	3.072	0.065	4.809	0.002	-0.021	0.002	0.002	1.192	-0.245	0.000	0.000	118.8063120	31.8918233
670828.433	3529868.160	3.072	0.065	4.809	0.026	-0.001	0.026	-0.087	0.843	0.000	0.000	0.000	118.8063120	31.8918233
670828.452	3529867.921	3.071	0.069	4.832	-0.012	0.003	-0.012	-0.154	0.457	0.250	0.000	0.000	118.8063122	31.8918212
670828.452	3529867.921	3.071	0.069	4.832	0.008	0.001	0.008	-0.105	0.749	0.157	0.000	0.000	118.8063122	31.8918212
670828.471	3529867.680	3.071	0.074	4.861	-0.018	-0.005	-0.018	-0.002	0.364	0.216	0.000	0.000	118.8063123	31.8918190
670828.491	3529867.436	3.071	0.074	4.884	0.004	0.002	0.004	0.139	1.069	-0.010	0.000	0.000	118.8063125	31.8918168
670828.491	3529867.436	3.071	0.074	4.884	-0.004	0.006	-0.004	-0.132	0.324	-0.072	0.000	0.000	118.8063125	31.8918168
670828.510	3529867.190	3.071	0.074	4.902	0.014	-0.007	0.014	-0.017	0.905	0.031	0.000	0.000	118.8063126	31.8918146
670828.510	3529867.190	3.071	0.079	4.902	-0.010	-0.009	-0.010	0.136	0.977	-0.083	0.000	0.000	118.8063126	31.8918146
